,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
1,칸다소바,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200706_109%2F15940170884099ubeg_JPEG%2FeuJusUKym5ADqACPiMqcwEdj.jpg,3405,2261,9,9,9.52
2,서면밀면,4.54,,1841,1914,9,9,9.54
3,송정3대국밥,4.33,,2522,1752,9,9,9.33
4,도시농가코페도코,4.47,,1202,1243,9,9,9.47
5,야키야,4.5,,467,373,5,5,9.1
6,소인수분해,4.58,,969,924,8,9,9.56
7,버거샵,4.63,,618,1144,7,9,9.59
8,떡장인방앗간,4.34,,1167,286,8,4,8.92
10,프루토 프루타,4.62,,511,899,6,8,9.48
11,블랙업커피 서면,4.61,,2682,643,9,7,9.45
12,어밤부,4.46,,2001,1252,9,9,9.46
13,기장손칼국수,4.41,,2677,1710,9,9,9.41
14,라라관,4.52,,1656,1331,9,9,9.52
15,83해치,4.76,,394,315,5,4,9.28
16,버거스올마이티,4.57,,1477,913,9,9,9.57
17,라푀유크로와상,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220513_241%2F1652435071956GSR5O_JPEG%2FKakaoTalk_20220313_135508855_03.jpg,1546,861,9,8,9.54
18,개미집 서면점,4.46,,1336,1236,9,9,9.46
19,곱다,4.5,,594,613,6,7,9.28
20,후발대,4.69,,251,382,3,5,9.25
21,쇼쿠지 서면점,4.88,,318,269,4,4,9.38
22,모던테이블,4.62,,886,649,8,7,9.44
23,술나방바,4.41,,256,290,3,4,8.89
24,문화양곱창,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220728_260%2F1659002444439NsMQ3_JPEG%2FScreenshot_20220728-132047_Instagram.jpg,301,352,4,5,9.02
26,셰르,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200427_171%2F1587982976435vnrSi_JPEG%2FRVIih2-UOcio1Yi2ot8uCFX-.jpeg.jpg,270,218,3,3,9.05
27,스페이스앤무드,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_286%2F1607595869529sHond_JPEG%2FwRm7C7N1_R5rllIANjugQoW0.jpg,661,591,7,7,9.35
28,서면개금밀면,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180725_134%2F15325277356681ictG_JPEG%2FY0tXSGlPreZqVk0OJHDILdzV.jpg,922,1024,8,9,9.41
29,로위버거,4.52,,565,531,6,6,9.22
30,낭만장작,4.68,,352,368,4,5,9.26
31,원화랑,4.69,,177,186,2,2,8.99
32,수림식당 서면점,4.47,,579,198,6,2,8.85
34,사미헌,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191104_170%2F1572839786201LGgPb_JPEG%2FiP0AoxxxmMhSC_hdnYBGOdNE.jpg,1764,642,9,7,9.22
35,엄지척닭도리,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220630_287%2F1656578285077csio8_JPEG%2F01.jpg,287,182,4,2,8.87
37,라멘야,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190217_289%2F1550383015232gFmMH_JPEG%2FbBzdJDM8jEa2IoNpa7_nCu5I.jpg,869,784,8,8,9.41
40,그집곱도리탕,4.57,,745,1100,7,9,9.53
42,EU 피자&파스타 서면 본점,4.58,,930,1025,8,9,9.56
43,가련한부엌,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_191%2F157237490961760JTp_JPEG%2Fp6ReF4HVqeloW6NlIt3GPGHp.jpg,331,184,4,2,8.82
44,노브나인,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201118_243%2F1605681860283TprMS_JPEG%2FP3fbw3evSkhbmplemy08CChQ.jpeg.jpg,114,76,0,0,8.82
45,수라상,5.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211007_157%2F163358285049447KMJ_JPEG%2FHi8XhwMWsF2ZhN6oavZj3Unl.JPG.jpg,262,421,3,6,9.64
46,맛찬들왕소금구이 서면점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_86%2F1612443702490itpAf_JPEG%2FIgBkGhWODsI04WI8er6uWgZ6.jpg,1616,892,9,8,9.46
47,양산도 본점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200508_84%2F1588926565499OBtWM_JPEG%2FrtfvTDroU09nB6EZW-SFfXRN.jpg,1044,410,8,6,9.25
48,각방,4.46,,457,837,5,8,9.3
49,기리,4.63,,623,1297,7,9,9.59
50,전포여관,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190117_15%2F1547727960960tPtJT_JPEG%2FhqgEAif6gQnu7m3ZX1koW549.jpg,229,990,2,9,9.43
51,반핀,4.89,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210915_224%2F1631684320646yNRaC_JPEG%2FTt1z87pBjATNhgAH1A5Poh3T.jpg,230,212,3,3,9.29
52,얼룩,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220411_92%2F1649635194057BIoKX_JPEG%2FD5A36AFC-30EE-40A0-9F04-0AB287444EF5.jpeg,184,581,2,7,9.34
54,마라톤집,4.22,,242,225,3,3,8.62
55,기승전골,4.65,,734,314,7,4,9.21
56,온센 부산진구점,4.4,,611,456,7,6,9.12
57,쏠레젤라또,4.76,,192,121,2,1,8.98
58,쉐이크쉑 서면점,4.47,,9538,1819,9,9,9.47
60,팔미분식,4.36,,1149,678,8,8,9.26
61,호랭이밀면 부산본점,4.51,,470,463,5,6,9.19
62,로우앤스윗,4.6,,264,557,3,7,9.32
63,더스타뷔페,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220731_227%2F1659231144251Odmyb_JPEG%2F%25C0%25D3%25BD%25C3%25C8%25DE%25B9%25AB%2528%25C3%25D6%25C1%25BE%25BA%25BB%2529.jpg,726,621,7,7,9.24
64,회국수할매집,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210112_199%2F1610456905828doL3O_JPEG%2FQ_cALl-GuNLm-r0SCt_gdCHN.jpeg.jpg,1196,313,8,4,8.89
65,오성가든,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211225_191%2F1640423293204zfAlg_JPEG%2FIMG_4985.JPG,452,733,5,8,9.38
