,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,늘해랑,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200405_131%2F1586085732061CO5uW_JPEG%2Ff-53j2KK6EtG8EiwvAfY1AGH.jpeg.jpg,949,508,9,9,9.44
1,파전닭갈비,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200416_273%2F1587044435940WDqT7_JPEG%2Fq7ksS3ojQTnXsBwaJKDCDGYr.jpeg.jpg,404,433,8,9,9.48
2,울릉도소주방,4.47,,381,145,7,8,9.35
3,담다,4.63,,280,170,7,9,9.59
4,어반그레이 로스터리,4.51,,781,236,9,9,9.51
5,송화강훠궈,4.46,,250,166,7,8,9.34
6,철계점횟집 양정점,4.73,,100,456,4,9,9.63
7,양정정통밀면,4.41,,716,113,9,8,9.33
8,17번지묵은지닭한마리양정점,4.44,,83,74,3,8,9.24
9,두번째 늘해랑,4.41,,1167,171,9,9,9.41
11,삼부자황제갈비살,4.57,,120,47,5,7,9.33
12,양정서울칼국수,4.4,,241,266,7,9,9.36
13,24시오리농원감자탕 본점,4.35,,469,78,8,8,9.25
14,영심이왕족발,4.43,,1546,280,9,9,9.43
15,다모아횟집,4.49,,497,60,8,7,9.31
16,카페 계란조심,4.63,,177,64,6,8,9.49
17,고집센그집갈비탕 부산양정점,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170726_258%2F15010591789328eAKd_JPEG%2F186676578278264_0.jpeg,414,27,8,6,9.01
18,양맥집,4.76,,268,147,7,8,9.64
19,돈짱 양정점,4.46,,364,73,7,8,9.34
20,두툼왕돈까스,4.53,,605,238,8,9,9.51
21,스타벅스 양정역점,4.53,,2308,106,9,8,9.45
22,푸른밤수산,4.56,,30,26,1,6,9.16
23,수림식당,4.73,,132,11,5,3,9.17
24,홍주방 양정점,4.53,,393,100,8,8,9.43
26,명동찌개마을 양정점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200228_41%2F1582831863620Pcorj_JPEG%2F_97N5Y3KmBRU5TdTjuOWrBDp.jpg,565,85,8,8,9.43
27,더수제양정점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190729_132%2F15643927718796r9iy_JPEG%2FLr4Vo-iDOV8IPCXdIrMiDewJ.jpg,131,39,5,7,9.23
28,대동국수 부산양정점,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200720_13%2F1595232543832qaPwz_JPEG%2Fu8cWaqzAZkIgd2Ge5iAw0dPh.jpg,116,52,5,7,9.01
29,댕쥬르,5.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220123_98%2F1642912403170xfM3R_JPEG%2F79094BCD-C2EE-4030-A281-7E797F488889.jpeg,20,18,0,5,9.5
31,이가월남쌀국수 양정점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_133%2F15898692755238WIJl_JPEG%2FpK1rDzqCssUqk4ETgtFdN2Kw.jpg,106,28,4,6,9.04
32,서산댁파전,4.41,,92,25,4,6,9.07
33,역전할머니맥주 양정점,4.49,,350,18,7,5,9.13
34,돈단지석쇠구이,4.5,,197,31,6,6,9.2
35,양정삼합 자연산곰장어,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160415_75%2F1460695254174QLh9v_JPEG%2F176357588259333_0.jpeg,156,57,6,7,9.1
36,채선당 월남쌈 & 샤브샤브 부산양정점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181113_90%2F1542085971332SupFn_JPEG%2F-2rR1lIJGXfba_p3cOxsdAx1.jpeg.jpg,220,61,7,7,9.08
